Domain,Number of DNS requests,Missed DNS requests missed,Number of Packets,Number of Bytes,Estimated Packets,Estimated Bytes
endpoint.prod.us-east-1.forester.a2z.com,52,0,89,5950,89.0,5950.0
ec2-3-15-230-165.us-east-2.compute.amazonaws.com,2,0,0,0,0.0,0.0
165.230.15.3.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,2,0,0,0,0.0,0.0
ss-prod-ue1-notif-44.aws.adobess.com,59,0,0,0,0.0,0.0
r5---sn-ab5sznl7.googlevideo.com,8,0,11,462,11.0,462.0
r4---sn-ab5szn7d.googlevideo.com,6,0,15,630,15.0,630.0
r2---sn-ab5l6ndy.googlevideo.com,8,0,21038,883596,21038.0,883596.0
seungworkstation23.Princeton.Edu,2,0,0,0,0.0,0.0
video-edge-c2a314.yto01.abs.hls.ttvnw.net,1,0,528028,28513524,528028.0,28513524.0
lib-solr-staging2.princeton.edu,21,0,0,0,0.0,0.0
lib-static-prod1.princeton.edu,19,0,0,0,0.0,0.0
