Domain,Number of DNS requests,Missed DNS requests missed,Number of Packets,Number of Bytes,Estimated Packets,Estimated Bytes
mobile.events.data.trafficmanager.net,53,0,1013,140545,1013.0,140545.0
mta.e.whatgoesaroundnyc.com,3,0,32,2812,32.0,2812.0
p3plsmtp01-03.prod.phx3.secureserver.net,7,0,245,22515,245.0,22515.0
bayareanewsgroup.net,6,0,0,0,0.0,0.0
40.23.168.113.4vw5piqz5ksoolyszwje5tobsi.zen.dq.spamhaus.net,2,0,0,0,0.0,0.0
155.95.247.223.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,301,0,0,0,0.0,0.0
proddevopsst.queue.core.windows.net,514,0,1643,373111,1643.0,373111.0
0.debian.pool.ntp.org,38,0,0,0,0.0,0.0
a1-34.smtp-out.eu-west-1.amazonses.com,9,0,55,4914,55.0,4914.0
27.128.229.197.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,2,0,0,0,0.0,0.0
bounce.iia-communications.org,5,0,0,0,0.0,0.0
alt2.aspmx.l.google.com,63,0,1950,149931,1950.0,149931.0
iia-communications.org,4,0,0,0,0.0,0.0
mx-aol.mail.gm0.yahoodns.net,699,0,13056,1037312,13056.0,1037312.0
email.discountsurgical.com,3,0,0,0,0.0,0.0
bxjbqj09.tweb.sched.ovscdns.com,10,0,432,35008,432.0,35008.0
1442233.tweb.sched.ovscdns.com,7,0,1379,110544,1379.0,110544.0
whatsnewinelectronics.co.uk,4,0,0,0,0.0,0.0
30.247.183.190.4vw5piqz5ksoolyszwje5tobsi.zen.dq.spamhaus.net,1,0,0,0,0.0,0.0
36d65229.overseavideo.sched.apdcdn.com,2,0,3646,263723,3646.0,263723.0
intheswimspecials.com,22,0,0,0,0.0,0.0
mtaip134.nj3.bulletinhealthcare.com,6,0,40,3527,40.0,3527.0
amer.ng.msg.teams-msgapi.trafficmanager.net,42,0,1660,195878,1660.0,195878.0
outbyoip10.pod14.use1.zdsys.com,12,0,19,1622,19.0,1622.0
mail.urlinsgroupemail.com,2,0,0,0,0.0,0.0
memberengage.conference-board.org,4,0,0,0,0.0,0.0
o1.alerts.foundationcenter.org,20,0,535,45108,535.0,45108.0
ny7p01lppmta2600.email.ncl.com,2,0,0,0,0.0,0.0
remmeyappraisers.com,2,0,0,0,0.0,0.0
remmeyantiquesandfineart.ccsend.com,2,0,0,0,0.0,0.0
6.2.40.77.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,446,0,0,0,0.0,0.0
glgmembersolutions.zendesk.com,2,0,0,0,0.0,0.0
mail1.mytotalconnectcomfort.com,2,0,0,0,0.0,0.0
cdn.content.prod.cms.msn.com,67,0,664,98747,664.0,98747.0
indiegamealliance.com,2,0,0,0,0.0,0.0
145.42.212.58.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,328,0,0,0,0.0,0.0
uwvcpickupservice.org,2,0,0,0,0.0,0.0
215.3.40.77.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,204,0,0,0,0.0,0.0
mail.anntaylorfactory.com,37,0,0,0,0.0,0.0
pdom06.pu.win.princeton.edu,1257,0,0,0,0.0,0.0
parking-mobility.org,2,0,0,0,0.0,0.0
o15.ck.n.convertkit.com,4,0,0,0,0.0,0.0
o1.sg.order.homedepot.com,2,0,0,0,0.0,0.0
mx56.h.outbound.createsend.com,6,0,0,0,0.0,0.0
gs-loc-new.ls-apple.com.akadns.net,42,0,2956,488069,2956.0,488069.0
mlblists-104-1d.bm16.maas.zetaglobal.net,12,0,43,3654,43.0,3654.0
americassuperhandyman.com,224,0,0,0,0.0,0.0
