Domain,Number of DNS requests,Missed DNS requests missed,Number of Packets,Number of Bytes,Estimated Packets,Estimated Bytes
OPTONLINE.NET,1,0,0,0,0.0,0.0
TESSJAMES.COM,2,0,0,0,0.0,0.0
LIST.UIOWA.EDU,7,0,0,0,0.0,0.0
UIOWA.EDU,18,0,0,0,0.0,0.0
PRZ-9XNW462.princeton.edu,1,0,0,0,0.0,0.0
PCS-J34JMC2.princeton.edu,1,0,0,0,0.0,0.0
WIN04.win.princeton.edu,4,0,0,0,0.0,0.0
DOC-4KGLRQ2.princeton.edu,1,0,0,0,0.0,0.0
cs.Princeton.EDU,3,0,0,0,0.0,0.0
BocaRoyale.com,1,0,0,0,0.0,0.0
autom101l.Princeton.EDU,2,0,0,0,0.0,0.0
OY-IP-145.SMWEBHOST.COM,2,0,0,0,0.0,0.0
ORP-48Z9K13-LT.princeton.edu,1,0,0,0,0.0,0.0
NGA.GOV,2,0,0,0,0.0,0.0
princeton.EDU,2,0,0,0,0.0,0.0
DEV-280PC0Y2XB6.princeton.edu,1,0,0,0,0.0,0.0
MailList.au.dk,4,0,0,0,0.0,0.0
LISTS.HEALTHRESEARCH.ORG,6,0,0,0,0.0,0.0
Vanderbilt.Edu,13,0,0,0,0.0,0.0
ADM-DL-B9ZFTQ2.princeton.edu,1,0,0,0,0.0,0.0
Insideapple.apple.com,1,0,0,0,0.0,0.0
autom202l.Princeton.EDU,2,0,0,0,0.0,0.0
ATH-185TMV2.princeton.edu,1,0,0,0,0.0,0.0
MAIL.SUNYJCC.EDU,4,0,0,0,0.0,0.0
MESSIAH.EDU,2,0,0,0,0.0,0.0
BERGEN.EDU,6,0,0,0,0.0,0.0
UPS.EDU,3,0,0,0,0.0,0.0
LAWRENCE.EDU,8,0,0,0,0.0,0.0
IONA.EDU,1,0,0,0,0.0,0.0
SIMMONS.EDU,2,0,0,0,0.0,0.0
UBVU.VU.NL,1,0,0,0,0.0,0.0
HAWAII.EDU,12,0,0,0,0.0,0.0
EBCL.LIB.ID.US,2,0,0,0,0.0,0.0
NORTHWESTU.EDU,2,0,0,0,0.0,0.0
USM.MAINE.EDU,2,0,0,0,0.0,0.0
UNI.EDU,1,0,0,0,0.0,0.0
SEMOVM.SEMO.EDU,4,0,0,0,0.0,0.0
ISU.EDU,3,0,0,0,0.0,0.0
GC.CUNY.EDU,14,0,0,0,0.0,0.0
ALBION.EDU,2,0,0,0,0.0,0.0
OLIVET.EDU,2,0,0,0,0.0,0.0
PLS.LIB.OK.US,4,0,0,0,0.0,0.0
PTS.EDU,2,0,0,0,0.0,0.0
ELON.EDU,2,0,0,0,0.0,0.0
MAIL.LIB.MSU.EDU,2,0,0,0,0.0,0.0
WESLEYAN.EDU,1,0,0,0,0.0,0.0
STEDWARDS.EDU,3,0,0,0,0.0,0.0
UWM.EDU,14,0,0,0,0.0,0.0
